Simulation,Description,Date_sd,Date_lockdown,Knot_date_1,Knot_date_2,Date,CFR,CFR_value,Mean,C_025,C_975
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-06-01,cfr_hosp_dod,0.17636419234998277,27107,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-06-01,cfr_hosp_dor,0.22650114834839524,34813,NA,NA
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-06-01,cfr_hosp_dod,0.17636419234998277,27850,22785,33708
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-06-01,cfr_hosp_dor,0.22650114834839524,35768,29262,43290
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-15,2020-03-27,2020-06-01,cfr_hosp_dod,0.17636419234998277,7503,6379,8774
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-15,2020-03-27,2020-06-01,cfr_hosp_dor,0.22650114834839524,9636,8192,11269
Counterfactual history,Social distancing and lockdown 2 weeks earlier,2020-03-03,2020-03-10,2020-03-08,2020-03-20,2020-06-01,cfr_hosp_dod,0.17636419234998277,2001,1787,2235
Counterfactual history,Social distancing and lockdown 2 weeks earlier,2020-03-03,2020-03-10,2020-03-08,2020-03-20,2020-06-01,cfr_hosp_dor,0.22650114834839524,2570,2295,2870
