Simulation,Date_sd,Date_lockdown,Knot_date_1,Knot_date_2,Date,Mean_growth,C025_growth,C975_growth
Counterfactual history,2020-03-03,2020-03-10,2020-03-08,2020-03-20,2020-05-21,0.99,0.5,1.51
Counterfactual history,2020-03-03,2020-03-10,2020-03-08,2020-03-20,2020-05-22,0.98,0.5,1.5
Counterfactual history,2020-03-03,2020-03-10,2020-03-08,2020-03-20,2020-05-23,0.99,0.5,1.5
Counterfactual history,2020-03-03,2020-03-10,2020-03-08,2020-03-20,2020-05-24,0.99,0.5,1.52
Counterfactual history,2020-03-03,2020-03-10,2020-03-08,2020-03-20,2020-05-25,0.99,0.5,1.5
Counterfactual history,2020-03-03,2020-03-10,2020-03-08,2020-03-20,2020-05-26,0.99,0.5,1.5
Counterfactual history,2020-03-03,2020-03-10,2020-03-08,2020-03-20,2020-05-27,0.99,0.5,1.54
Counterfactual history,2020-03-03,2020-03-10,2020-03-08,2020-03-20,2020-05-28,0.99,0.5,1.5
Counterfactual history,2020-03-03,2020-03-10,2020-03-08,2020-03-20,2020-05-29,0.99,0.5,1.5
Counterfactual history,2020-03-03,2020-03-10,2020-03-08,2020-03-20,2020-05-30,0.99,0.5,1.56
Counterfactual history,2020-03-03,2020-03-10,2020-03-08,2020-03-20,2020-05-31,0.99,0.5,1.52
Counterfactual history,2020-03-03,2020-03-10,2020-03-08,2020-03-20,2020-06-01,0.99,0.5,1.5
