Simulation,Date_sd,Date_lockdown,Knot_date_1,Knot_date_2,Date,Mean_daily_cases,C025_daily_cases,C975_daily_cases,Mean_cumulative_cases_end,C025_cumulative_cases_end,C975_cumulative_cases_end
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-22,2142,9,14935,99551,2219,601045
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-23,2083,8,14174,101634,2241,619481
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-24,2018,7,13417,103652,2267,628447
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-25,1974,7,13376,105626,2276,641629
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-26,1919,6,12948,107545,2293,655114
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-27,1828,6,12483,109372,2303,667269
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-28,1782,5,12238,111154,2318,681477
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-29,1745,5,11724,112899,2325,693749
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-30,1658,4,11226,114558,2350,700684
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-01,1613,4,11156,116171,2362,713284
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-02,1575,4,10960,117746,2381,724452
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-03,1514,3,10669,119260,2393,733642
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-04,1445,3,9935,120706,2406,744495
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-05,1415,3,9652,122120,2424,754245
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-06,1366,3,9613,123486,2436,763654
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-07,1311,2,9207,124797,2440,772677
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-08,1261,2,9178,126058,2446,784217
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-09,1210,2,9022,127268,2449,794846
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-10,1182,2,8813,128450,2453,804409
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-11,1134,2,8522,129584,2456,809306
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-12,1101,1,8251,130685,2458,816045
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-13,1072,1,7982,131757,2466,823742
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-14,1029,1,7519,132786,2470,831141
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-15,971,1,7125,133757,2475,837071
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-16,932,1,7110,134689,2484,843957
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-17,891,1,6438,135579,2490,849528
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-18,864,1,6338,136443,2493,855112
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-19,848,1,6253,137291,2496,860364
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-20,806,1,5986,138098,2503,862218
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-21,790,1,5839,138887,2506,864876
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-22,770,1,5742,139658,2511,868780
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-23,734,1,5420,140392,2515,878792
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-24,711,1,5204,141102,2522,884227
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-25,694,1,4903,141796,2527,890416
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-26,670,1,4844,142466,2531,897025
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-27,651,1,4581,143117,2539,900875
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-28,620,1,4415,143736,2542,903678
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-29,599,1,4137,144336,2545,907655
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-30,585,1,4022,144921,2548,911014
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-05-31,560,1,4009,145481,2550,917283
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-06-01,541,1,3691,146021,2554,919634
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-02,39,39,39,124,124,124
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-03,47,24,84,171,148,208
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-04,57,21,126,228,172,327
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-05,68,20,175,296,196,486
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-06,82,19,240,378,219,709
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-07,98,18,315,476,243,994
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-08,118,18,409,594,266,1377
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-09,142,18,522,735,292,1850
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-10,170,19,682,905,317,2453
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-11,204,19,856,1110,343,3248
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-12,246,20,1072,1356,372,4229
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-13,297,20,1394,1652,402,5563
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-14,358,21,1760,2011,434,7222
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-15,432,22,2201,2443,469,9342
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-16,522,22,2840,2965,504,11955
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-17,560,24,3014,3525,539,14757
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-18,602,25,3258,4127,574,17953
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-19,647,26,3495,4774,610,21489
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-20,697,28,3746,5471,644,25154
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-21,748,29,4077,6219,680,29209
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-22,804,31,4360,7022,718,33662
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-23,866,32,4756,7888,759,38146
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-24,932,34,5120,8820,803,43015
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-25,1003,35,5536,9823,843,48574
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-26,1080,37,5928,10903,888,54539
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-27,1160,40,6359,12063,934,61105
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-28,1120,35,6228,13183,970,66985
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-29,1083,32,6059,14266,1010,72851
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-30,1045,28,5828,15310,1055,78165
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-03-31,1012,26,5948,16322,1090,83845
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-01,970,24,5693,17292,1126,89053
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-02,936,21,5573,18228,1156,94085
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-03,906,19,5463,19133,1182,98125
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-04,875,17,5405,20008,1207,103247
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-05,842,15,5344,20850,1232,108549
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-06,811,14,5094,21661,1255,112954
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-07,784,12,4908,22445,1278,119036
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-08,761,11,4849,23205,1294,123537
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-09,741,10,4729,23946,1310,128258
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-10,719,9,4550,24665,1326,132516
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-11,695,8,4394,25359,1341,137154
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-12,678,8,4312,26037,1351,142116
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-13,658,7,4288,26695,1362,146655
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-14,630,6,4135,27326,1379,150136
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-15,611,6,3932,27936,1390,153098
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-16,589,5,3836,28525,1398,157292
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-17,576,5,3769,29101,1406,161205
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-18,551,4,3676,29653,1420,163913
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-19,536,4,3624,30189,1430,167411
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-20,519,3,3494,30708,1442,169924
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-21,501,3,3330,31209,1449,172873
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-22,490,3,3297,31699,1454,176033
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-23,474,3,3246,32172,1462,178118
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-24,456,2,3185,32628,1469,180676
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-25,441,2,3115,33068,1475,182675
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-26,427,2,2978,33495,1479,185975
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-27,411,2,2905,33906,1488,189855
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-28,394,2,2813,34299,1493,193334
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-29,378,1,2643,34678,1500,195984
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-04-30,366,1,2472,35044,1506,197772
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-01,355,1,2400,35399,1511,199753
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-02,349,1,2350,35747,1516,200910
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-03,336,1,2224,36083,1518,202661
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-04,324,1,2139,36407,1525,205498
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-05,313,1,2089,36720,1532,207024
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-06,296,1,1981,37016,1535,208513
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-07,291,1,1981,37307,1538,210440
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-08,280,1,1896,37587,1545,213624
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-09,273,1,1811,37860,1546,215192
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-10,264,1,1788,38124,1551,216077
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-11,260,1,1726,38384,1552,217634
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-12,253,1,1689,38637,1554,218949
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-13,237,1,1605,38874,1555,220008
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-14,227,1,1556,39101,1558,220953
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-15,221,1,1539,39322,1560,222043
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-16,211,1,1448,39534,1561,222879
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-17,204,1,1447,39738,1565,223776
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-18,197,1,1367,39935,1574,225427
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-19,190,1,1308,40125,1575,225939
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-20,183,1,1228,40308,1578,227178
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-21,178,1,1191,40487,1579,227939
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-22,172,1,1169,40659,1580,229089
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-23,165,1,1127,40824,1581,231119
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-24,163,1,1111,40987,1584,231386
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-25,161,1,1050,41148,1584,232207
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-26,160,1,1028,41308,1584,232932
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-27,154,1,968,41462,1588,233219
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-28,146,1,953,41609,1593,234819
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-29,148,1,916,41756,1594,235593
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-30,148,1,896,41904,1597,235902
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-05-31,136,1,871,42040,1602,235983
Counterfactual history,2020-03-10,2020-03-17,2020-03-16,2020-03-27,2020-06-01,134,1,842,42173,1603,237050
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-02,39,39,39,124,124,124
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-03,47,23,84,171,147,208
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-04,57,20,126,228,171,325
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-05,68,19,175,295,193,488
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-06,81,19,234,376,216,706
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-07,98,18,312,474,239,988
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-08,117,18,408,591,264,1360
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-09,141,18,532,733,289,1831
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-10,152,19,575,885,314,2376
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-11,163,20,621,1048,338,2965
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-12,175,21,675,1224,361,3645
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-13,188,22,739,1412,386,4329
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-14,202,23,784,1614,411,5112
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-15,217,24,860,1831,438,5953
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-16,234,25,936,2065,465,6845
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-17,251,26,1013,2316,495,7845
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-18,270,27,1117,2586,525,8935
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-19,289,28,1215,2875,557,10110
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-20,310,30,1297,3186,590,11393
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-21,299,26,1288,3484,624,12592
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-22,290,23,1286,3774,657,13787
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-23,280,20,1261,4054,685,14995
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-24,271,18,1258,4325,712,16109
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-25,262,16,1240,4587,735,17160
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-26,253,14,1218,4839,755,18091
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-27,245,13,1197,5084,775,19149
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-28,236,11,1177,5320,792,20133
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-29,229,10,1159,5549,810,21259
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-30,222,9,1140,5771,824,22262
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-03-31,214,8,1131,5985,839,23373
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-01,208,7,1157,6193,851,24394
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-02,200,7,1100,6393,868,25584
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-03,195,6,1079,6588,879,26443
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-04,189,5,1051,6777,892,27491
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-05,182,5,1035,6959,899,28285
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-06,175,4,997,7134,911,29092
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-07,170,4,972,7303,921,30085
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-08,165,3,964,7468,928,30850
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-09,159,3,954,7627,936,31689
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-10,154,3,912,7781,945,32257
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-11,150,2,878,7931,949,32961
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-12,145,2,857,8076,957,33659
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-13,140,2,840,8216,965,34464
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-14,136,2,831,8352,971,35181
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-15,132,2,809,8484,976,35907
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-16,126,1,793,8610,979,36754
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-17,122,1,763,8732,985,37291
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-18,118,1,730,8850,987,37758
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-19,114,1,724,8964,994,38420
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-20,111,1,701,9075,1001,39081
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-21,107,1,672,9182,1009,39658
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-22,104,1,663,9286,1015,40057
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-23,100,1,650,9385,1017,40612
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-24,97,1,625,9482,1020,41167
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-25,93,1,594,9575,1022,41618
Counterfactual history,2020-03-03,2020-03-10,2020-03-09,2020-03-20,2020-04-26,90,1,584,9665,1025,42315
