Simulation,Date_sd,Date_lockdown,Knot_date_1,Knot_date_2,Date,Mean_daily_cases,C025_daily_cases,C975_daily_cases,Mean_cumulative_cases_end,C025_cumulative_cases_end,C975_cumulative_cases_end
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-02,39,39,39,124,124,124
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-03,47,23,84,171,147,208
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-04,57,21,126,228,171,325
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-05,68,19,175,296,195,486
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-06,82,19,242,378,218,708
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-07,99,18,316,477,241,995
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-08,119,18,419,596,266,1381
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-09,142,18,535,738,290,1861
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-10,172,18,696,910,314,2518
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-11,207,19,867,1117,340,3352
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-12,249,19,1081,1365,369,4348
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-13,299,20,1375,1664,397,5634
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-14,361,21,1746,2025,429,7251
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-15,435,21,2185,2460,463,9164
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-16,524,23,2695,2984,500,11800
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-17,632,23,3435,3615,538,15087
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-18,763,25,4178,4378,577,19054
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-19,916,26,5127,5294,616,23823
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-20,1091,27,6222,6385,661,29494
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-21,1301,29,7668,7686,711,37027
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-22,1576,31,9442,9262,754,45552
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-23,1880,34,11570,11142,803,56321
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-24,2019,36,12520,13162,855,68512
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-25,2167,38,13544,15329,912,81583
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-26,2327,40,14653,17656,967,96336
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-27,2499,42,15574,20154,1022,112420
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-28,2677,44,16645,22832,1075,128344
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-29,2878,47,18145,25710,1141,145772
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-30,3089,50,19231,28799,1200,164482
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-31,3306,51,20483,32105,1255,184400
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-01,3531,54,22098,35636,1319,207123
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-02,3793,57,23792,39430,1390,229584
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-03,4076,62,25412,43506,1456,254499
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-04,3946,55,24930,47452,1532,278722
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-05,3796,49,23868,51248,1594,302754
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-06,3645,45,23048,54893,1653,323594
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-07,3543,40,22761,58435,1716,345171
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-08,3442,36,22128,61878,1770,368710
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-09,3334,32,21285,65212,1826,385496
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-10,3228,29,20653,68440,1880,406457
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-11,3114,27,20008,71554,1910,428620
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-12,2996,24,19591,74550,1944,444153
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-13,2896,22,18141,77446,1983,462752
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-14,2839,20,18435,80285,2019,479099
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-15,2732,18,17727,83018,2057,496316
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-16,2597,16,16898,85614,2094,510732
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-17,2522,15,16715,88136,2119,528450
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-18,2442,14,16252,90577,2149,544709
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-19,2358,12,16204,92936,2166,558806
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-20,2269,11,15559,95205,2200,574306
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-04-21,2204,10,15270,97409,2208,585323
