Earliest Specimen Date,Nation,Pillar,Daily number of positive cases (new methodology),Cumulative number of positive cases (new methodology)
10/04/2020,Wales,Pillar 2,Not available,Not available
11/04/2020,England,Pillar 1,3003,74788
11/04/2020,Northern Ireland,Pillar 1,67,1836
11/04/2020,Scotland,Pillar 1,185,6156
11/04/2020,Wales,Pillar 1,Not available,Not available
11/04/2020,England,Pillar 2,74,691
11/04/2020,Northern Ireland,Pillar 2,0,0
11/04/2020,Scotland,Pillar 2,0,1
11/04/2020,Wales,Pillar 2,Not available,Not available
12/04/2020,England,Pillar 1,2700,77488
12/04/2020,Northern Ireland,Pillar 1,79,1915
12/04/2020,Scotland,Pillar 1,220,6376
12/04/2020,Wales,Pillar 1,Not available,Not available
12/04/2020,England,Pillar 2,248,939
12/04/2020,Northern Ireland,Pillar 2,0,0
12/04/2020,Scotland,Pillar 2,0,1
12/04/2020,Wales,Pillar 2,Not available,Not available
13/04/2020,England,Pillar 1,3306,80794
13/04/2020,Northern Ireland,Pillar 1,114,2029
13/04/2020,Scotland,Pillar 1,359,6735
13/04/2020,Wales,Pillar 1,Not available,Not available
13/04/2020,England,Pillar 2,133,1072
13/04/2020,Northern Ireland,Pillar 2,0,0
13/04/2020,Scotland,Pillar 2,0,1
13/04/2020,Wales,Pillar 2,Not available,Not available
14/04/2020,England,Pillar 1,3415,84209
14/04/2020,Northern Ireland,Pillar 1,99,2128
14/04/2020,Scotland,Pillar 1,346,7081
14/04/2020,Wales,Pillar 1,Not available,Not available
14/04/2020,England,Pillar 2,148,1220
14/04/2020,Northern Ireland,Pillar 2,0,0
14/04/2020,Scotland,Pillar 2,0,1
14/04/2020,Wales,Pillar 2,Not available,Not available
15/04/2020,England,Pillar 1,3603,87812
15/04/2020,Northern Ireland,Pillar 1,139,2267
15/04/2020,Scotland,Pillar 1,334,7415
15/04/2020,Wales,Pillar 1,Not available,Not available
15/04/2020,England,Pillar 2,632,1852
15/04/2020,Northern Ireland,Pillar 2,0,0
15/04/2020,Scotland,Pillar 2,0,1
15/04/2020,Wales,Pillar 2,Not available,Not available
16/04/2020,England,Pillar 1,3436,91248
16/04/2020,Northern Ireland,Pillar 1,139,2406
16/04/2020,Scotland,Pillar 1,424,7839
16/04/2020,Wales,Pillar 1,Not available,Not available
16/04/2020,England,Pillar 2,929,2781
16/04/2020,Northern Ireland,Pillar 2,0,0
16/04/2020,Scotland,Pillar 2,1,2
16/04/2020,Wales,Pillar 2,Not available,Not available
17/04/2020,England,Pillar 1,3426,94674
17/04/2020,Northern Ireland,Pillar 1,161,2567
17/04/2020,Scotland,Pillar 1,394,8233
17/04/2020,Wales,Pillar 1,Not available,Not available
17/04/2020,England,Pillar 2,656,3437
17/04/2020,Northern Ireland,Pillar 2,0,0
17/04/2020,Scotland,Pillar 2,0,2
17/04/2020,Wales,Pillar 2,Not available,Not available
18/04/2020,England,Pillar 1,2576,97250
18/04/2020,Northern Ireland,Pillar 1,86,2653
18/04/2020,Scotland,Pillar 1,264,8497
18/04/2020,Wales,Pillar 1,Not available,Not available
18/04/2020,England,Pillar 2,1550,4987
18/04/2020,Northern Ireland,Pillar 2,0,0
18/04/2020,Scotland,Pillar 2,0,2
18/04/2020,Wales,Pillar 2,Not available,Not available
19/04/2020,England,Pillar 1,2082,99332
19/04/2020,Northern Ireland,Pillar 1,43,2696
19/04/2020,Scotland,Pillar 1,159,8656
19/04/2020,Wales,Pillar 1,Not available,Not available
19/04/2020,England,Pillar 2,1390,6377
19/04/2020,Northern Ireland,Pillar 2,0,0
19/04/2020,Scotland,Pillar 2,0,2
19/04/2020,Wales,Pillar 2,Not available,Not available
20/04/2020,England,Pillar 1,3071,102403
20/04/2020,Northern Ireland,Pillar 1,112,2808
20/04/2020,Scotland,Pillar 1,348,9004
20/04/2020,Wales,Pillar 1,Not available,Not available
20/04/2020,England,Pillar 2,617,6994
20/04/2020,Northern Ireland,Pillar 2,0,0
20/04/2020,Scotland,Pillar 2,428,430
20/04/2020,Wales,Pillar 2,Not available,Not available
21/04/2020,England,Pillar 1,2994,105397
21/04/2020,Northern Ireland,Pillar 1,131,2939
21/04/2020,Scotland,Pillar 1,399,9403
21/04/2020,Wales,Pillar 1,Not available,Not available
21/04/2020,England,Pillar 2,979,7973
21/04/2020,Northern Ireland,Pillar 2,0,0
21/04/2020,Scotland,Pillar 2,0,430
21/04/2020,Wales,Pillar 2,Not available,Not available
22/04/2020,England,Pillar 1,2767,108164
22/04/2020,Northern Ireland,Pillar 1,100,3039
22/04/2020,Scotland,Pillar 1,340,9743
22/04/2020,Wales,Pillar 1,Not available,Not available
22/04/2020,England,Pillar 2,2034,10007
22/04/2020,Northern Ireland,Pillar 2,0,0
22/04/2020,Scotland,Pillar 2,0,430
22/04/2020,Wales,Pillar 2,Not available,Not available
23/04/2020,England,Pillar 1,2766,110930
23/04/2020,Northern Ireland,Pillar 1,75,3114
23/04/2020,Scotland,Pillar 1,314,10057
23/04/2020,Wales,Pillar 1,Not available,Not available
23/04/2020,England,Pillar 2,1805,11812
23/04/2020,Northern Ireland,Pillar 2,0,0
23/04/2020,Scotland,Pillar 2,0,430
23/04/2020,Wales,Pillar 2,Not available,Not available
24/04/2020,England,Pillar 1,2772,113702
24/04/2020,Northern Ireland,Pillar 1,86,3200
24/04/2020,Scotland,Pillar 1,305,10362
24/04/2020,Wales,Pillar 1,Not available,Not available
24/04/2020,England,Pillar 2,1598,13410
24/04/2020,Northern Ireland,Pillar 2,0,0
24/04/2020,Scotland,Pillar 2,0,430
24/04/2020,Wales,Pillar 2,Not available,Not available
25/04/2020,England,Pillar 1,1809,115511
25/04/2020,Northern Ireland,Pillar 1,55,3255
25/04/2020,Scotland,Pillar 1,185,10547
25/04/2020,Wales,Pillar 1,Not available,Not available
25/04/2020,England,Pillar 2,1563,14973
25/04/2020,Northern Ireland,Pillar 2,0,0
25/04/2020,Scotland,Pillar 2,0,430
25/04/2020,Wales,Pillar 2,Not available,Not available
26/04/2020,England,Pillar 1,1406,116917
26/04/2020,Northern Ireland,Pillar 1,43,3298
26/04/2020,Scotland,Pillar 1,163,10710
26/04/2020,Wales,Pillar 1,Not available,Not available
26/04/2020,England,Pillar 2,1730,16703
26/04/2020,Northern Ireland,Pillar 2,0,0
26/04/2020,Scotland,Pillar 2,8,438
26/04/2020,Wales,Pillar 2,Not available,Not available
27/04/2020,England,Pillar 1,2223,119140
27/04/2020,Northern Ireland,Pillar 1,72,3370
27/04/2020,Scotland,Pillar 1,334,11044
27/04/2020,Wales,Pillar 1,Not available,Not available
27/04/2020,England,Pillar 2,1811,18514
27/04/2020,Northern Ireland,Pillar 2,1,1
27/04/2020,Scotland,Pillar 2,96,534
27/04/2020,Wales,Pillar 2,Not available,Not available
28/04/2020,England,Pillar 1,2288,121428
28/04/2020,Northern Ireland,Pillar 1,72,3442
28/04/2020,Scotland,Pillar 1,310,11354
28/04/2020,Wales,Pillar 1,Not available,Not available
28/04/2020,England,Pillar 2,1832,20346
28/04/2020,Northern Ireland,Pillar 2,2,3
28/04/2020,Scotland,Pillar 2,70,604
28/04/2020,Wales,Pillar 2,Not available,Not available
29/04/2020,England,Pillar 1,2348,123776
29/04/2020,Northern Ireland,Pillar 1,92,3534
29/04/2020,Scotland,Pillar 1,316,11670
29/04/2020,Wales,Pillar 1,Not available,Not available
29/04/2020,England,Pillar 2,2394,22740
29/04/2020,Northern Ireland,Pillar 2,5,8
29/04/2020,Scotland,Pillar 2,114,718
29/04/2020,Wales,Pillar 2,Not available,Not available
30/04/2020,England,Pillar 1,2124,125900
30/04/2020,Northern Ireland,Pillar 1,89,3623
30/04/2020,Scotland,Pillar 1,271,11941
30/04/2020,Wales,Pillar 1,Not available,Not available
30/04/2020,England,Pillar 2,2189,24929
30/04/2020,Northern Ireland,Pillar 2,26,34
30/04/2020,Scotland,Pillar 2,64,782
30/04/2020,Wales,Pillar 2,Not available,Not available
01/05/2020,England,Pillar 1,1949,127849
01/05/2020,Northern Ireland,Pillar 1,85,3708
01/05/2020,Scotland,Pillar 1,267,12208
01/05/2020,Wales,Pillar 1,Not available,Not available
01/05/2020,England,Pillar 2,2147,27076
01/05/2020,Northern Ireland,Pillar 2,18,52
01/05/2020,Scotland,Pillar 2,101,883
01/05/2020,Wales,Pillar 2,Not available,Not available
02/05/2020,England,Pillar 1,1244,129093
02/05/2020,Northern Ireland,Pillar 1,60,3768
02/05/2020,Scotland,Pillar 1,148,12356
02/05/2020,Wales,Pillar 1,Not available,Not available
02/05/2020,England,Pillar 2,1497,28573
02/05/2020,Northern Ireland,Pillar 2,36,88
02/05/2020,Scotland,Pillar 2,69,952
02/05/2020,Wales,Pillar 2,Not available,Not available
03/05/2020,England,Pillar 1,961,130054
03/05/2020,Northern Ireland,Pillar 1,28,3796
03/05/2020,Scotland,Pillar 1,107,12463
03/05/2020,Wales,Pillar 1,Not available,Not available
03/05/2020,England,Pillar 2,1674,30247
03/05/2020,Northern Ireland,Pillar 2,29,117
03/05/2020,Scotland,Pillar 2,82,1034
03/05/2020,Wales,Pillar 2,Not available,Not available
04/05/2020,England,Pillar 1,1618,131672
04/05/2020,Northern Ireland,Pillar 1,56,3852
04/05/2020,Scotland,Pillar 1,269,12732
04/05/2020,Wales,Pillar 1,Not available,Not available
04/05/2020,England,Pillar 2,1224,31471
04/05/2020,Northern Ireland,Pillar 2,23,140
04/05/2020,Scotland,Pillar 2,60,1094
04/05/2020,Wales,Pillar 2,Not available,Not available
05/05/2020,England,Pillar 1,1604,133276
05/05/2020,Northern Ireland,Pillar 1,58,3910
05/05/2020,Scotland,Pillar 1,216,12948
05/05/2020,Wales,Pillar 1,Not available,Not available
05/05/2020,England,Pillar 2,1543,33014
05/05/2020,Northern Ireland,Pillar 2,24,164
05/05/2020,Scotland,Pillar 2,72,1166
05/05/2020,Wales,Pillar 2,Not available,Not available
06/05/2020,England,Pillar 1,1436,134712
06/05/2020,Northern Ireland,Pillar 1,42,3952
06/05/2020,Scotland,Pillar 1,228,13176
06/05/2020,Wales,Pillar 1,Not available,Not available
06/05/2020,England,Pillar 2,1831,34845
06/05/2020,Northern Ireland,Pillar 2,49,213
06/05/2020,Scotland,Pillar 2,78,1244
06/05/2020,Wales,Pillar 2,Not available,Not available
07/05/2020,England,Pillar 1,1448,136160
07/05/2020,Northern Ireland,Pillar 1,60,4012
07/05/2020,Scotland,Pillar 1,227,13403
07/05/2020,Wales,Pillar 1,Not available,Not available
07/05/2020,England,Pillar 2,1757,36602
07/05/2020,Northern Ireland,Pillar 2,46,259
07/05/2020,Scotland,Pillar 2,63,1307
07/05/2020,Wales,Pillar 2,Not available,Not available
08/05/2020,England,Pillar 1,1023,137183
08/05/2020,Northern Ireland,Pillar 1,46,4058
08/05/2020,Scotland,Pillar 1,183,13586
08/05/2020,Wales,Pillar 1,Not available,Not available
08/05/2020,England,Pillar 2,1598,38200
08/05/2020,Northern Ireland,Pillar 2,25,284
08/05/2020,Scotland,Pillar 2,71,1378
08/05/2020,Wales,Pillar 2,Not available,Not available
09/05/2020,England,Pillar 1,889,138072
09/05/2020,Northern Ireland,Pillar 1,31,4089
09/05/2020,Scotland,Pillar 1,106,13692
09/05/2020,Wales,Pillar 1,Not available,Not available
09/05/2020,England,Pillar 2,901,39101
09/05/2020,Northern Ireland,Pillar 2,24,308
09/05/2020,Scotland,Pillar 2,71,1449
09/05/2020,Wales,Pillar 2,Not available,Not available
10/05/2020,England,Pillar 1,730,138802
10/05/2020,Northern Ireland,Pillar 1,47,4136
10/05/2020,Scotland,Pillar 1,104,13796
10/05/2020,Wales,Pillar 1,Not available,Not available
10/05/2020,England,Pillar 2,1280,40381
10/05/2020,Northern Ireland,Pillar 2,16,324
10/05/2020,Scotland,Pillar 2,46,1495
10/05/2020,Wales,Pillar 2,Not available,Not available
11/05/2020,England,Pillar 1,1244,140046
11/05/2020,Northern Ireland,Pillar 1,65,4201
11/05/2020,Scotland,Pillar 1,198,13994
11/05/2020,Wales,Pillar 1,Not available,Not available
11/05/2020,England,Pillar 2,1823,42204
11/05/2020,Northern Ireland,Pillar 2,19,343
11/05/2020,Scotland,Pillar 2,63,1558
11/05/2020,Wales,Pillar 2,Not available,Not available
12/05/2020,England,Pillar 1,1106,141152
12/05/2020,Northern Ireland,Pillar 1,57,4258
12/05/2020,Scotland,Pillar 1,179,14173
12/05/2020,Wales,Pillar 1,Not available,Not available
12/05/2020,England,Pillar 2,1822,44026
12/05/2020,Northern Ireland,Pillar 2,36,379
12/05/2020,Scotland,Pillar 2,52,1610
12/05/2020,Wales,Pillar 2,Not available,Not available
13/05/2020,England,Pillar 1,1081,142233
13/05/2020,Northern Ireland,Pillar 1,31,4289
13/05/2020,Scotland,Pillar 1,138,14311
13/05/2020,Wales,Pillar 1,Not available,Not available
13/05/2020,England,Pillar 2,1799,45825
13/05/2020,Northern Ireland,Pillar 2,45,424
13/05/2020,Scotland,Pillar 2,60,1670
13/05/2020,Wales,Pillar 2,Not available,Not available
14/05/2020,England,Pillar 1,904,143137
14/05/2020,Northern Ireland,Pillar 1,33,4322
14/05/2020,Scotland,Pillar 1,154,14465
14/05/2020,Wales,Pillar 1,Not available,Not available
14/05/2020,England,Pillar 2,1305,47130
14/05/2020,Northern Ireland,Pillar 2,36,460
14/05/2020,Scotland,Pillar 2,58,1728
14/05/2020,Wales,Pillar 2,Not available,Not available
15/05/2020,England,Pillar 1,912,144049
15/05/2020,Northern Ireland,Pillar 1,48,4370
15/05/2020,Scotland,Pillar 1,105,14570
15/05/2020,Wales,Pillar 1,Not available,Not available
15/05/2020,England,Pillar 2,1220,48350
15/05/2020,Northern Ireland,Pillar 2,15,475
15/05/2020,Scotland,Pillar 2,47,1775
15/05/2020,Wales,Pillar 2,Not available,Not available
16/05/2020,England,Pillar 1,633,144682
16/05/2020,Northern Ireland,Pillar 1,24,4394
16/05/2020,Scotland,Pillar 1,61,14631
16/05/2020,Wales,Pillar 1,Not available,Not available
16/05/2020,England,Pillar 2,1138,49488
16/05/2020,Northern Ireland,Pillar 2,11,486
16/05/2020,Scotland,Pillar 2,42,1817
16/05/2020,Wales,Pillar 2,Not available,Not available
17/05/2020,England,Pillar 1,636,145318
17/05/2020,Northern Ireland,Pillar 1,24,4418
17/05/2020,Scotland,Pillar 1,55,14686
17/05/2020,Wales,Pillar 1,Not available,Not available
17/05/2020,England,Pillar 2,955,50443
17/05/2020,Northern Ireland,Pillar 2,12,498
17/05/2020,Scotland,Pillar 2,37,1854
17/05/2020,Wales,Pillar 2,Not available,Not available
18/05/2020,England,Pillar 1,947,146265
18/05/2020,Northern Ireland,Pillar 1,35,4453
18/05/2020,Scotland,Pillar 1,106,14792
18/05/2020,Wales,Pillar 1,Not available,Not available
18/05/2020,England,Pillar 2,1272,51715
18/05/2020,Northern Ireland,Pillar 2,20,518
18/05/2020,Scotland,Pillar 2,34,1888
18/05/2020,Wales,Pillar 2,Not available,Not available
19/05/2020,England,Pillar 1,1021,147286
19/05/2020,Northern Ireland,Pillar 1,44,4497
19/05/2020,Scotland,Pillar 1,132,14924
19/05/2020,Wales,Pillar 1,Not available,Not available
19/05/2020,England,Pillar 2,1563,53278
19/05/2020,Northern Ireland,Pillar 2,24,542
19/05/2020,Scotland,Pillar 2,50,1938
19/05/2020,Wales,Pillar 2,Not available,Not available
20/05/2020,England,Pillar 1,824,148110
20/05/2020,Northern Ireland,Pillar 1,25,4522
20/05/2020,Scotland,Pillar 1,87,15011
20/05/2020,Wales,Pillar 1,Not available,Not available
20/05/2020,England,Pillar 2,1530,54808
20/05/2020,Northern Ireland,Pillar 2,54,596
20/05/2020,Scotland,Pillar 2,34,1972
20/05/2020,Wales,Pillar 2,Not available,Not available
21/05/2020,England,Pillar 1,749,148859
21/05/2020,Northern Ireland,Pillar 1,38,4560
21/05/2020,Scotland,Pillar 1,78,15089
21/05/2020,Wales,Pillar 1,Not available,Not available
21/05/2020,England,Pillar 2,1528,56336
21/05/2020,Northern Ireland,Pillar 2,13,609
21/05/2020,Scotland,Pillar 2,33,2005
21/05/2020,Wales,Pillar 2,Not available,Not available
22/05/2020,England,Pillar 1,708,149567
22/05/2020,Northern Ireland,Pillar 1,17,4577
22/05/2020,Scotland,Pillar 1,63,15152
22/05/2020,Wales,Pillar 1,Not available,Not available
22/05/2020,England,Pillar 2,1093,57429
22/05/2020,Northern Ireland,Pillar 2,13,622
22/05/2020,Scotland,Pillar 2,29,2034
22/05/2020,Wales,Pillar 2,Not available,Not available
23/05/2020,England,Pillar 1,455,150022
23/05/2020,Northern Ireland,Pillar 1,33,4610
23/05/2020,Scotland,Pillar 1,24,15176
23/05/2020,Wales,Pillar 1,Not available,Not available
23/05/2020,England,Pillar 2,846,58275
23/05/2020,Northern Ireland,Pillar 2,17,639
23/05/2020,Scotland,Pillar 2,26,2060
23/05/2020,Wales,Pillar 2,Not available,Not available
24/05/2020,England,Pillar 1,387,150409
24/05/2020,Northern Ireland,Pillar 1,12,4622
24/05/2020,Scotland,Pillar 1,32,15208
24/05/2020,Wales,Pillar 1,Not available,Not available
24/05/2020,England,Pillar 2,812,59087
24/05/2020,Northern Ireland,Pillar 2,19,658
24/05/2020,Scotland,Pillar 2,22,2082
24/05/2020,Wales,Pillar 2,Not available,Not available
25/05/2020,England,Pillar 1,509,150918
25/05/2020,Northern Ireland,Pillar 1,20,4642
25/05/2020,Scotland,Pillar 1,57,15265
25/05/2020,Wales,Pillar 1,Not available,Not available
25/05/2020,England,Pillar 2,872,59959
25/05/2020,Northern Ireland,Pillar 2,21,679
25/05/2020,Scotland,Pillar 2,40,2122
25/05/2020,Wales,Pillar 2,Not available,Not available
26/05/2020,England,Pillar 1,544,151462
26/05/2020,Northern Ireland,Pillar 1,13,4655
26/05/2020,Scotland,Pillar 1,48,15313
26/05/2020,Wales,Pillar 1,Not available,Not available
26/05/2020,England,Pillar 2,921,60880
26/05/2020,Northern Ireland,Pillar 2,15,694
26/05/2020,Scotland,Pillar 2,29,2151
26/05/2020,Wales,Pillar 2,Not available,Not available
27/05/2020,England,Pillar 1,545,152007
27/05/2020,Northern Ireland,Pillar 1,15,4670
27/05/2020,Scotland,Pillar 1,47,15360
27/05/2020,Wales,Pillar 1,Not available,Not available
27/05/2020,England,Pillar 2,1069,61949
27/05/2020,Northern Ireland,Pillar 2,12,706
27/05/2020,Scotland,Pillar 2,19,2170
27/05/2020,Wales,Pillar 2,Not available,Not available
28/05/2020,England,Pillar 1,466,152473
28/05/2020,Northern Ireland,Pillar 1,17,4687
28/05/2020,Scotland,Pillar 1,34,15394
28/05/2020,Wales,Pillar 1,Not available,Not available
28/05/2020,England,Pillar 2,1108,63057
28/05/2020,Northern Ireland,Pillar 2,12,718
28/05/2020,Scotland,Pillar 2,21,2191
28/05/2020,Wales,Pillar 2,Not available,Not available
29/05/2020,England,Pillar 1,443,152916
29/05/2020,Northern Ireland,Pillar 1,10,4697
29/05/2020,Scotland,Pillar 1,17,15411
29/05/2020,Wales,Pillar 1,Not available,Not available
29/05/2020,England,Pillar 2,928,63985
29/05/2020,Northern Ireland,Pillar 2,10,728
29/05/2020,Scotland,Pillar 2,12,2203
29/05/2020,Wales,Pillar 2,Not available,Not available
30/05/2020,England,Pillar 1,350,153266
30/05/2020,Northern Ireland,Pillar 1,6,4703
30/05/2020,Scotland,Pillar 1,25,15436
30/05/2020,Wales,Pillar 1,Not available,Not available
30/05/2020,England,Pillar 2,650,64635
30/05/2020,Northern Ireland,Pillar 2,4,732
30/05/2020,Scotland,Pillar 2,16,2219
30/05/2020,Wales,Pillar 2,Not available,Not available
31/05/2020,England,Pillar 1,310,153576
31/05/2020,Northern Ireland,Pillar 1,10,4713
31/05/2020,Scotland,Pillar 1,15,15451
31/05/2020,Wales,Pillar 1,Not available,Not available
31/05/2020,England,Pillar 2,675,65310
31/05/2020,Northern Ireland,Pillar 2,17,749
31/05/2020,Scotland,Pillar 2,7,2226
31/05/2020,Wales,Pillar 2,Not available,Not available
01/06/2020,England,Pillar 1,451,154027
01/06/2020,Northern Ireland,Pillar 1,11,4724
01/06/2020,Scotland,Pillar 1,25,15476
01/06/2020,Wales,Pillar 1,Not available,Not available
01/06/2020,England,Pillar 2,861,66171
01/06/2020,Northern Ireland,Pillar 2,9,758
01/06/2020,Scotland,Pillar 2,13,2239
01/06/2020,Wales,Pillar 2,Not available,Not available
02/06/2020,England,Pillar 1,482,154509
02/06/2020,Northern Ireland,Pillar 1,15,4739
02/06/2020,Scotland,Pillar 1,33,15509
02/06/2020,Wales,Pillar 1,Not available,Not available
02/06/2020,England,Pillar 2,866,67037
02/06/2020,Northern Ireland,Pillar 2,1,759
02/06/2020,Scotland,Pillar 2,12,2251
02/06/2020,Wales,Pillar 2,Not available,Not available
03/06/2020,England,Pillar 1,438,154947
03/06/2020,Northern Ireland,Pillar 1,3,4742
03/06/2020,Scotland,Pillar 1,16,15525
03/06/2020,Wales,Pillar 1,Not available,Not available
03/06/2020,England,Pillar 2,795,67832
03/06/2020,Northern Ireland,Pillar 2,6,765
03/06/2020,Scotland,Pillar 2,19,2270
03/06/2020,Wales,Pillar 2,Not available,Not available
04/06/2020,England,Pillar 1,312,155259
04/06/2020,Northern Ireland,Pillar 1,4,4746
04/06/2020,Scotland,Pillar 1,30,15555
04/06/2020,Wales,Pillar 1,Not available,Not available
04/06/2020,England,Pillar 2,825,68657
04/06/2020,Northern Ireland,Pillar 2,4,769
04/06/2020,Scotland,Pillar 2,5,2275
04/06/2020,Wales,Pillar 2,Not available,Not available
05/06/2020,England,Pillar 1,320,155579
05/06/2020,Northern Ireland,Pillar 1,17,4763
05/06/2020,Scotland,Pillar 1,18,15573
05/06/2020,Wales,Pillar 1,Not available,Not available
05/06/2020,England,Pillar 2,694,69351
05/06/2020,Northern Ireland,Pillar 2,4,773
05/06/2020,Scotland,Pillar 2,6,2281
05/06/2020,Wales,Pillar 2,Not available,Not available
06/06/2020,England,Pillar 1,207,155786
06/06/2020,Northern Ireland,Pillar 1,3,4766
06/06/2020,Scotland,Pillar 1,15,15588
06/06/2020,Wales,Pillar 1,Not available,Not available
06/06/2020,England,Pillar 2,508,69859
06/06/2020,Northern Ireland,Pillar 2,4,777
06/06/2020,Scotland,Pillar 2,7,2288
06/06/2020,Wales,Pillar 2,Not available,Not available
07/06/2020,England,Pillar 1,200,155986
07/06/2020,Northern Ireland,Pillar 1,2,4768
07/06/2020,Scotland,Pillar 1,8,15596
07/06/2020,Wales,Pillar 1,Not available,Not available
07/06/2020,England,Pillar 2,462,70321
07/06/2020,Northern Ireland,Pillar 2,3,780
07/06/2020,Scotland,Pillar 2,9,2297
07/06/2020,Wales,Pillar 2,Not available,Not available
08/06/2020,England,Pillar 1,300,156286
08/06/2020,Northern Ireland,Pillar 1,9,4777
08/06/2020,Scotland,Pillar 1,8,15604
08/06/2020,Wales,Pillar 1,Not available,Not available
08/06/2020,England,Pillar 2,692,71013
08/06/2020,Northern Ireland,Pillar 2,5,785
08/06/2020,Scotland,Pillar 2,10,2307
08/06/2020,Wales,Pillar 2,Not available,Not available
09/06/2020,England,Pillar 1,308,156594
09/06/2020,Northern Ireland,Pillar 1,10,4787
09/06/2020,Scotland,Pillar 1,18,15622
09/06/2020,Wales,Pillar 1,Not available,Not available
09/06/2020,England,Pillar 2,750,71763
09/06/2020,Northern Ireland,Pillar 2,2,787
09/06/2020,Scotland,Pillar 2,9,2316
09/06/2020,Wales,Pillar 2,Not available,Not available
10/06/2020,England,Pillar 1,364,156958
10/06/2020,Northern Ireland,Pillar 1,16,4803
10/06/2020,Scotland,Pillar 1,24,15646
10/06/2020,Wales,Pillar 1,Not available,Not available
10/06/2020,England,Pillar 2,724,72487
10/06/2020,Northern Ireland,Pillar 2,1,788
10/06/2020,Scotland,Pillar 2,5,2321
10/06/2020,Wales,Pillar 2,Not available,Not available
11/06/2020,England,Pillar 1,275,157233
11/06/2020,Northern Ireland,Pillar 1,8,4811
11/06/2020,Scotland,Pillar 1,17,15663
11/06/2020,Wales,Pillar 1,Not available,Not available
11/06/2020,England,Pillar 2,645,73132
11/06/2020,Northern Ireland,Pillar 2,2,790
11/06/2020,Scotland,Pillar 2,4,2325
11/06/2020,Wales,Pillar 2,Not available,Not available
12/06/2020,England,Pillar 1,267,157500
12/06/2020,Northern Ireland,Pillar 1,5,4816
12/06/2020,Scotland,Pillar 1,21,15684
12/06/2020,Wales,Pillar 1,Not available,Not available
12/06/2020,England,Pillar 2,671,73803
12/06/2020,Northern Ireland,Pillar 2,6,796
12/06/2020,Scotland,Pillar 2,9,2334
12/06/2020,Wales,Pillar 2,Not available,Not available
13/06/2020,England,Pillar 1,258,157758
13/06/2020,Northern Ireland,Pillar 1,6,4822
13/06/2020,Scotland,Pillar 1,17,15701
13/06/2020,Wales,Pillar 1,Not available,Not available
13/06/2020,England,Pillar 2,529,74332
13/06/2020,Northern Ireland,Pillar 2,4,800
13/06/2020,Scotland,Pillar 2,6,2340
13/06/2020,Wales,Pillar 2,Not available,Not available
14/06/2020,England,Pillar 1,209,157967
14/06/2020,Northern Ireland,Pillar 1,2,4824
14/06/2020,Scotland,Pillar 1,6,15707
14/06/2020,Wales,Pillar 1,Not available,Not available
14/06/2020,England,Pillar 2,538,74870
14/06/2020,Northern Ireland,Pillar 2,6,806
14/06/2020,Scotland,Pillar 2,7,2347
14/06/2020,Wales,Pillar 2,Not available,Not available
15/06/2020,England,Pillar 1,279,158246
15/06/2020,Northern Ireland,Pillar 1,7,4831
15/06/2020,Scotland,Pillar 1,15,15722
15/06/2020,Wales,Pillar 1,Not available,Not available
15/06/2020,England,Pillar 2,658,75528
15/06/2020,Northern Ireland,Pillar 2,10,816
15/06/2020,Scotland,Pillar 2,6,2353
15/06/2020,Wales,Pillar 2,Not available,Not available
16/06/2020,England,Pillar 1,307,158553
16/06/2020,Northern Ireland,Pillar 1,7,4838
16/06/2020,Scotland,Pillar 1,10,15732
16/06/2020,Wales,Pillar 1,Not available,Not available
16/06/2020,England,Pillar 2,685,76213
16/06/2020,Northern Ireland,Pillar 2,3,819
16/06/2020,Scotland,Pillar 2,7,2360
16/06/2020,Wales,Pillar 2,Not available,Not available
17/06/2020,England,Pillar 1,286,158839
17/06/2020,Northern Ireland,Pillar 1,3,4841
17/06/2020,Scotland,Pillar 1,22,15754
17/06/2020,Wales,Pillar 1,Not available,Not available
17/06/2020,England,Pillar 2,625,76838
17/06/2020,Northern Ireland,Pillar 2,4,823
17/06/2020,Scotland,Pillar 2,11,2371
17/06/2020,Wales,Pillar 2,Not available,Not available
18/06/2020,England,Pillar 1,245,159084
18/06/2020,Northern Ireland,Pillar 1,0,4841
18/06/2020,Scotland,Pillar 1,9,15763
18/06/2020,Wales,Pillar 1,Not available,Not available
18/06/2020,England,Pillar 2,701,77539
18/06/2020,Northern Ireland,Pillar 2,8,831
18/06/2020,Scotland,Pillar 2,5,2376
18/06/2020,Wales,Pillar 2,Not available,Not available
19/06/2020,England,Pillar 1,226,159310
19/06/2020,Northern Ireland,Pillar 1,5,4846
19/06/2020,Scotland,Pillar 1,15,15778
19/06/2020,Wales,Pillar 1,Not available,Not available
19/06/2020,England,Pillar 2,585,78124
19/06/2020,Northern Ireland,Pillar 2,7,838
19/06/2020,Scotland,Pillar 2,8,2384
19/06/2020,Wales,Pillar 2,Not available,Not available
20/06/2020,England,Pillar 1,155,159465
20/06/2020,Northern Ireland,Pillar 1,0,4846
20/06/2020,Scotland,Pillar 1,3,15781
20/06/2020,Wales,Pillar 1,Not available,Not available
20/06/2020,England,Pillar 2,474,78598
20/06/2020,Northern Ireland,Pillar 2,4,842
20/06/2020,Scotland,Pillar 2,3,2387
20/06/2020,Wales,Pillar 2,Not available,Not available
21/06/2020,England,Pillar 1,122,159587
