Knot_date_1,Knot_date_2,Growth_factor_1,Growth_factor_2,Growth_factor_3,AIC,BIC,RMSE_inc,RMSE_cum,Abs_diff_cum_end
2020-03-23,2020-04-03,1.2037614358757724,1.074738359620551,0.968068305814304,1225.9481176757454,1243.5241342213633,359.6773737487711,2552.1401835486067,1029
2020-03-22,2020-04-03,1.210067885548144,1.0776270458497912,0.9681395967228865,1229.4737839381878,1247.0498004838057,362.7212625222214,2133.0534426054564,2025
2020-03-23,2020-04-02,1.2021704092474688,1.0811373830933417,0.97084585830328,1234.3702177535183,1251.9462342991362,379.6067514076715,3160.044352171708,2059
2020-03-21,2020-04-02,1.215316298082819,1.0867889663986203,0.9709109541176317,1238.5937352115038,1256.1697517571217,381.9112433566179,2511.490405107106,7510
2020-03-22,2020-04-02,1.2077260992491943,1.0843362436729351,0.9709086145423961,1236.8571419679342,1254.4331585135521,383.58233352620215,3406.3439215804256,1550
