Simulation,Date_sd,Date_lockdown,Knot_date_1,Knot_date_2,Date,Mean_daily_cases,C025_daily_cases,C975_daily_cases,Mean_cumulative_cases_end,C025_cumulative_cases_end,C975_cumulative_cases_end
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-02,39,39,39,124,124,124
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-03,47,23,84,171,147,208
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-04,57,21,126,227,171,325
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-05,68,19,175,295,195,486
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-06,82,18,241,377,218,705
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-07,98,18,314,475,241,994
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-08,118,18,417,593,265,1374
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-09,141,18,531,734,288,1854
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-10,170,18,688,904,313,2503
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-11,204,18,854,1108,339,3322
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-12,245,19,1066,1354,366,4301
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-13,295,20,1351,1648,393,5571
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-14,355,20,1717,2004,425,7168
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-15,427,21,2153,2431,459,9021
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-16,514,22,2638,2945,495,11639
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-17,619,23,3367,3564,531,14866
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-18,747,24,4092,4311,569,18772
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-19,895,25,5020,5206,606,23430
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-20,1065,26,6068,6271,651,28959
Natural history,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-21,1269,29,7485,7540,700,36392
