Knot_date_1,Knot_date_2,Growth_factor_1,Growth_factor_2,Growth_factor_3,Growth_factor_1_sd,Growth_factor_2_sd,Growth_factor_3_sd,Pois_dev_inc,Pois_dev_cum,Diff_cum_end,Prob_equal,Prob_unequal
2020-03-20,2020-04-06,1.228043824269922,1.0590231731447735,0.9662710715780669,0.05880148155463859,0.00843002825146819,0.005078644398979497,2751.5819151500395,5058.740859938626,-2174,0.2,0.14806528668718336
2020-03-21,2020-04-03,1.2179069790002093,1.0781140141644645,0.9688370708809481,0.03438652654393781,0.0076463478973181455,0.0031431923825660677,2948.799495335656,2851.2917508210567,-3798,0.2,0.262696342977632
2020-03-21,2020-04-07,1.2236622429139814,1.0504350839746521,0.9645279143908326,0.05242812675189941,0.008407838561331113,0.005609976653440478,2355.4461510794094,3619.3068490912938,-3732,0.2,0.20695231074177645
2020-03-22,2020-04-03,1.2104368284756217,1.0760690351790823,0.9686882936229936,0.028467737355300168,0.007354640641413331,0.002945641681405578,2829.380622808963,2538.686404063928,-3856,0.2,0.2950438914014524
2020-03-23,2020-04-03,1.2039836899920786,1.0732552265101791,0.9685865585015998,0.023913236196441114,0.007210081221084184,0.0027923076667844427,2721.0188239535532,8585.571991458659,148,0.2,0.0872421681919558
